Date,actual,prediction
2024-04-20,41.36,41.71445541381836
2024-04-21,39.49999999999999,42.634344482421874
2024-04-22,38.38,40.749087524414065
2024-04-23,33.48,39.29615936279297
2024-04-24,34.019999999999996,36.517662048339844
2024-04-25,36.49999999999999,37.43313140869141
2024-04-26,38.9,38.99024124145508
2024-04-27,37.32,40.19119644165039
2024-04-28,38.14,39.99982376098633
2024-04-29,40.660000000000004,41.49468154907227
2024-04-30,44.42,42.6913200378418
2024-05-01,45.56,44.69581832885742
2024-05-02,47.4,44.99305267333985
2024-05-03,47.72,46.63766708374023
2024-05-04,46.84,46.63028106689453
2024-05-05,42.14,46.51601867675781
2024-05-06,38.18,43.47669448852539
2024-05-07,38.94,41.063786315917966
2024-05-08,41.660000000000004,41.18247833251953
2024-05-09,43.959999999999994,42.98964920043945
